Gemeinde;AGS;Mietenstufe
Sulzfeld;8215082;2
Süßen;8117049;3
Täferrot;8136070;2
Talheim;8125094;2
Talheim;8327048;1
Tamm;8118071;5
Tannhausen;8136071;2
Tannheim;8426117;1
Tauberbischofsheim;8128115;1
Tengen;8335080;2
Teningen;8316043;3
Tettnang;8435057;4
Tiefenbach;8426118;1
Tiefenbronn;8236062;2
Titisee-Neustadt;8315113;2
Todtmoos;8337108;2
Todtnau;8336087;3
Triberg im Schwarzwald;8326060;2
Trochtelfingen;8415073;2
Trossingen;8327049;3
Tübingen;8416041;7
Tunau;8336089;3
Tuningen;8326061;2
Tuttlingen;8327050;3
Überlingen ;8435059;4
Ubstadt-Weiher;8215084;3
Uhingen;8117051;3
Uhldingen-Mühlhofen;8435066;4
Ühlingen-Birkendorf;8337128;2
Ulm;8421000;4
Umkirch;8315115;3
Ummendorf;8426120;1
Unlingen;8426121;1
Untereisesheim;8125096;2
Unterensingen;8116068;3
Untergruppenbach;8125098;2
Unterkirnach;8326065;2
Untermarchtal;8425123;2
Untermünkheim;8127086;1
Unterreichenbach;8235073;2
Unterschneidheim;8136075;2
Unterstadion;8425124;2
Unterwachingen;8425125;2
Unterwaldhausen;8436077;2
Urbach;8119076;2
Uttenweiler;8426124;1
Utzenfeld;8336090;3
Vaihingen an der Enz;8118073;3
Vellberg;8127089;1
Veringenstadt;8437114;1
Villingendorf;8325060;1
Villingen-Schwenningen;8326074;3
Vogt;8436078;2
Vogtsburg im Kaiserstuhl;8315133;3
Vöhrenbach;8326068;2
Vöhringen;8325061;1
Volkertshausen;8335081;2
Vörstetten;8316045;2
Waghäusel;8215106;2
Waiblingen;8119079;5
Waibstadt;8226091;2
Wain;8426125;1
Wald;8437118;1
Waldachtal;8237074;1
Waldbronn;8215110;4
Waldbrunn;8225118;1
Waldburg;8436079;2
Walddorfhäslach;8415087;2
Waldenbuch;8115048;4
Waldenburg;8126085;1
Waldkirch;8316056;3
Waldshut-Tiengen;8337126;3
Waldstetten;8136079;2
Walheim;8118074;4
Walldorf;8226095;5
Walldürn;8225109;1
Wallhausen;8127091;1
